2024-08-01 13:00:13,609 - root - INFO - Epoch 30; loss: 12.301902770996094; CER: 0.9775933623313904; WER: 1.0; val_loss: 11.654155731201172; val_CER: 0.9728395342826843; val_WER: 1.0
2024-08-01 13:00:22,775 - root - INFO - Epoch 31; loss: 12.14714241027832; CER: 0.9712309837341309; WER: 1.0; val_loss: 12.131183624267578; val_CER: 0.9456790089607239; val_WER: 1.0
2024-08-01 13:00:31,778 - root - INFO - Epoch 32; loss: 12.02474308013916; CER: 0.9648686647415161; WER: 1.0; val_loss: 11.513833999633789; val_CER: 0.9234568476676941; val_WER: 1.0
2024-08-01 13:00:40,088 - root - INFO - Epoch 33; loss: 11.810934066772461; CER: 0.9208852052688599; WER: 1.0; val_loss: 11.587066650390625; val_CER: 0.9333333373069763; val_WER: 1.0
2024-08-01 13:00:49,124 - root - INFO - Epoch 34; loss: 11.584511756896973; CER: 0.9051175117492676; WER: 1.0; val_loss: 11.807705879211426; val_CER: 0.879012405872345; val_WER: 1.0
2024-08-01 13:00:58,242 - root - INFO - Epoch 35; loss: 11.526297569274902; CER: 0.8923928141593933; WER: 1.0; val_loss: 10.53552532196045; val_CER: 0.8271604776382446; val_WER: 1.0
2024-08-01 13:01:06,495 - root - INFO - Epoch 36; loss: 11.158823013305664; CER: 0.848962664604187; WER: 1.0; val_loss: 12.266770362854004; val_CER: 0.849382758140564; val_WER: 1.0
2024-08-01 13:01:15,367 - root - INFO - Epoch 37; loss: 10.925691604614258; CER: 0.8055324554443359; WER: 1.0; val_loss: 10.514479637145996; val_CER: 0.8074074387550354; val_WER: 1.0
2024-08-01 13:01:23,697 - root - INFO - Epoch 38; loss: 10.634169578552246; CER: 0.7800830006599426; WER: 1.0; val_loss: 10.431527137756348; val_CER: 0.8098765015602112; val_WER: 1.0
2024-08-01 13:01:33,116 - root - INFO - Epoch 39; loss: 10.443586349487305; CER: 0.749654233455658; WER: 1.0; val_loss: 10.782440185546875; val_CER: 0.7975309491157532; val_WER: 1.0
